OBJECTID,Route,Signing,Qualifier,Ramp,ID,County Order,Factor Group,Station Start,Station End,HPMS Sample ID,Bridge ID,Railroad Crossing,NHS,Roadway Name,Roadway Number,Speed,Oneway,Region County Station,Station ID,Route ID,From Measure,To Measure,COUNT_STATS_ID,County FIPS,Station Number,Continuous Count Site ID,Functional Class,Federal Direction,Full Count,Oneway Flag,Calculation Year,AE_Flag,AADT,DHV,DDHV,Single Unit AADT,Combination Unit AADT,Most Recent Count Year,Most Recent AADT,K-Factor,D-Factor,2nd Most Recent Count Year,2nd Most Recent AADT,3rd Most Recent Count Year,3rd Most Recent AADT,4th Most Recent Count Year,4th Most Recent AADT,Class Count Year,Class F3 - F13 %,Truck or Heavy Vehicle %,Single Unit Truck or Bus %,Combination Truck %,Motorcycle %,Passenger Vehicle %,Light Duty Truck %,Bus %,Single Unit Truck %,Axle Factor,Single Unit Peak %,CU_Peak,Class Group Year,Speed Count Year,Speed Limit,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55 mph,Vehicles Exceeding 65 mph,Average K-Factor,Average D-Factor,NYS Direction Code,Truck AADT,Symbolized Truck Percentage AADT,Truck AADT Type (Actual vs. Estimated),Truck Percent Source Field Name,Region Name,Region Number,County Number,Morning Highest Value,Afternoon Highest Value,Evening Highest Value
41071,90,1,1, ,100515,14,30,US 9 OVER,RAMPS TO I787,2224234,1092472, ,Y,Interstate 90, ,55, ,110133,110133,100515141,12.1,12.67,39115693,1,133,,11,Combined Total,Y,,2019,A,84827,7992,4492,2780,2119,2019,84827,9,56,2000,108841,,,,,2019,16,6,3,2,0,84,10,1,2,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,4899,6,Actual,,,,,7659,6432,9506
41081, , ,1, ,104580,1,30,LOUDONVILLE RD,OLD HICKORY DR,2014010,1092520, ,Y,SHAKER RD, ,30, ,111114,111114,104580011,0,0.35,39103935,1,1114,,14,Combined Total,Y,,2019,A,6201,666,488,429,84,2019,6201,11,73,2009,5996,2005,10288,,,2009,,8,7,1,,,,,,,0,0,2019,,,,,,,,13.07251072,59.18663025,0,513,8,Actual,,,,,545,488,728
41086,90,1,1, ,100515,14,30,US 9 OVER,RAMPS TO I787,2224234,1092472, ,Y,Interstate 90, ,55, ,110133,110133,100515142,12.09,12.66,39115693,1,133,,11,Combined Total,Y,,2019,A,84827,7992,4492,2780,2119,2019,84827,9,56,2000,108841,,,,,2019,16,6,3,2,0,84,10,1,2,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,4899,6,Actual,,,,,7659,6432,9506
41103,90,1,1, ,100515,14,30,EXIT 5A CORPORATE WOODS OVER,US 9 OVER, , , ,Y,Interstate 90, ,55, ,110131,110131,100515141,10.6,12.1,39244356,1,131,,11,Combined Total,Y,,2019,A,104466,9757,5161,3190,2222,2019,104466,9,53,2015,98354,2006,96347,2004,109092,2019,16,5,3,2,0,84,11,1,2,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,5412,5,Actual,,,,,10160,5934,10284
41112, , ,1, ,104679,1,30,EVERETT ROAD E,WATERVLIET AVE, , , , ,WATERVLIET AVE, ,30, ,111323,111323,104679011,0,0.27,39248016,1,1323,,16,Combined Total,Y,,2019,F,13816,1202,782,493,96,2014,13941,9,65,2011,11362,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,589,4,Estimated,,,,,955,1037,1270
41116, , ,1, ,104475,1,30,KARNER RD,WEST CITY LINE, , , , ,OLD STATE RD, ,30, ,111297,111297,104475011,0,0.39,39163617,1,1297,,16,Combined Total,Y,,2019,A,9792,963,689,280,14,2019,9792,10,72,2016,9574,2010,9258,,,2019,16,3,3,0,0,84,13,0,3,1,0,0,2019,2019,30,29,32,37,0,0,13.07251072,59.18663025,0,294,3,Actual,,,,,994,579,1039
41124,90,1,1, ,100515,14,30,EXIT 5A CORPORATE WOODS OVER,US 9 OVER, , , ,Y,Interstate 90, ,55, ,110131,110131,100515142,10.58,12.09,39244356,1,131,,11,Combined Total,Y,,2019,A,104466,9757,5161,3190,2222,2019,104466,9,53,2015,98354,2006,96347,2004,109092,2019,16,5,3,2,0,84,11,1,2,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,5412,5,Actual,,,,,10160,5934,10284
41147,378,3,1, ,100348,1,30,ACC RT 787I,ALBANY COUNTY LINE / RENSSEL, ,1092371, ,Y, , ,55, ,110129,110129,100348011,2.53,2.84,39242620,1,129,,12,Combined Total,Y,,2019,F,33213,2775,1663,1043,405,2010,34986,8,60,2008,38954,2007,30223,2005,34959,2007,,4,3,1,,,,,,,0,0,2019,,,,,,,,13.07251072,59.18663025,0,1448,4,Actual,,,,,2642,1966,3000
41149,378,3,1, ,100348,1,30,ACC RT 787I,ALBANY COUNTY LINE / RENSSEL, ,1092371, ,Y, , ,55, ,110129,110129,100348011,2.53,2.84,39242620,1,129,,12,Combined Total,Y,,2019,F,33213,2775,1663,1043,405,2010,34986,8,60,2008,38954,2007,30223,2005,34959,2007,,4,3,1,,,,,,,0,0,2019,,,,,,,,13.07251072,59.18663025,0,1448,4,Actual,,,,,3175,2397,3281
41150, , ,1, ,103203,1,30,NY 20,ALBANY C/L, , , , ,RAPP RD, ,30, ,111220,111220,103203011,0,0.48,39247211,1,1220,,16,Combined Total,Y,,2019,F,8290,1004,782,296,58,2018,8305,12,78,2009,8655,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,354,4,Estimated,,,,,306,479,630
41153,378,3,1, ,100348,1,30,RT 32 UNDER,ACC RT 787I,6931012,1092409, , ,MENANDS RD, ,55, ,110128,110128,100348011,1.94,2.53,39247682,1,128,,16,Combined Total,Y,,2019,F,13818,1279,872,486,76,2015,13918,9,68,2009,13155,2005,12381,2001,16092,2015,16,4,4,1,0,83,12,0,3,1,0,0,2019,2015,55,58,58,64,72,11,13.07251072,59.18663025,0,562,4,Actual,,,,,1220,881,1417
41167,90,1,1, ,100515,14,30,RAMPS TO I787,Alb/Rens Co Line, ,1092452, ,Y,Interstate 90, ,55, ,110127,110127,100515141,12.67,13.21,39255627,1,127,,11,Combined Total,Y,,2019,A,47232,4560,2879,1326,1590,2019,47232,10,63,,,,,,,2019,19,6,3,3,0,81,13,0,2,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,2916,6,Actual,,,,,4576,2569,4806
41173,90,1,1, ,100515,14,30,RAMPS TO I787,Alb/Rens Co Line, ,1092452, ,Y,Interstate 90, ,55, ,110127,110127,100515142,12.66,13.21,39255627,1,127,,11,Combined Total,Y,,2019,A,47232,4560,2879,1326,1590,2019,47232,10,63,,,,,,,2019,19,6,3,3,0,81,13,0,2,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,2916,6,Actual,,,,,4576,2569,4806
41175, , ,1, ,104015,1,30,WASHINGTON AVE,CENTRAL AVE, , , , ,ALLEN ST N, ,30, ,111227,111227,104015011,0.37,0.69,39228785,1,1227,,17,Combined Total,Y,,2019,F,6444,538,300,197,6,2016,6498,8,56,2010,5348,,,,,2016,12,3,3,0,0,88,9,1,2,1,0,0,2019,2016,30,20,23,29,0,0,13.07251072,59.18663025,0,203,3,Actual,,,,,423,426,552
41184, , ,1, ,102425,1,30,WOLF RD,AVIATION RD, , , , ,METRO PARK RD, ,30, ,111354,111354,102425011,0,0.28,39189192,1,1354,,17,Combined Total,Y,,2019,F,4354,414,268,85,5,2016,4391,10,65,,,,,,,2016,14,2,2,0,0,86,12,0,2,1,0,0,2019,2016,30,30,32,38,0,0,13.07251072,59.18663025,0,90,2,Actual,,,,,364,371,425
41213,787,1,1, ,100479,1,30,RT 378 EB OVER,ACC FROM 23RD STREET,3007802,1092360, ,Y,Interstate 787, ,55, ,110125,110125,100479011,6.29,8.84,39229596,1,125,,11,Combined Total,Y,,2019,A,87882,8242,5660,2497,2384,2019,87882,9,69,2016,73103,2011,73549,2006,85100,2019,16,6,3,3,0,84,10,1,2,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,4881,6,Actual,,,,,8688,4697,8576
41220, , ,1, ,102129,1,30,LINCOLN AVE,WVLT C/L, , ,250027X, ,FIRST ST, ,30, ,111208,111208,102129011,0,0.32,39229178,1,1208,,17,Combined Total,Y,,2019,F,4309,414,246,168,39,2016,4345,10,59,2010,5225,2009,5034,,,2016,22,5,4,1,1,77,17,0,4,1,0,0,2019,2016,30,35,36,40,0,0,13.07251072,59.18663025,0,207,5,Actual,,,,,305,289,455
41227,787,1,1, ,100479,1,30,RT 378 EB OVER,ACC FROM 23RD STREET,3007802,1092360, ,Y,Interstate 787, ,55, ,110125,110125,100479012,6.28,8.85,39229596,1,125,,11,Combined Total,Y,,2019,A,87882,8242,5660,2497,2384,2019,87882,9,69,2016,73103,2011,73549,2006,85100,2019,16,6,3,3,0,84,10,1,2,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,4881,6,Actual,,,,,8688,4697,8576
41228,32,3,1, ,100290,4,30,RT 910C JCT BROADWAY MENANDS,ACC RT 787I &  913T JCT, , , , ,BROADWAY, ,30, ,110179,110179,100290041,26.69,27.31,39237586,1,179,,16,Combined Total,Y,,2019,F,12419,1312,995,806,121,2017,12464,11,76,2013,11061,2010,11483,2007,13757,2017,21,7,6,1,0,79,13,3,4,1,0,0,2019,2017,30,32,34,40,0,0,13.07251072,59.18663025,0,927,7,Actual,,,,,787,873,884
41231,377,3,1, ,100347,1,30,VAN RENSSELAER BLVD,WARDS LANE,3006883, , , ,VAN RENSSELAER, ,55, ,110124,110124,104659011,0.44,0.59,39209065,1,124,,16,Combined Total,Y,,2019,F,8429,1071,828,367,21,2017,8459,13,77,2009,7794,2004,10520,2001,8317,2009,,5,4,0,,,,,,,0,0,2019,,,,,,,,13.07251072,59.18663025,0,388,5,Actual,,,,,282,295,413
41234,377,3,1, ,100347,1,30,VAN RENSSELAER BLVD,WARDS LANE,3006883, , , ,VAN RENSSELAER, ,55, ,110124,110124,100347011,0.25,0.92,39209065,1,124,,16,Combined Total,Y,,2019,F,8429,1071,828,367,21,2017,8459,13,77,2009,7794,2004,10520,2001,8317,2009,,5,4,0,,,,,,,0,0,2019,,,,,,,,13.07251072,59.18663025,0,388,5,Actual,,,,,282,295,413
41239, , ,1, ,104208,1,30,NY-5 CENTRAL AVE,I-90 EB OVER,3007941,1034529, ,Y,EVERETT RD EXT, ,30, ,111017,111017,104208011,0,0.34,39103934,1,1017,,14,Combined Total,Y,,2019,F,21576,1709,896,587,78,2017,21670,8,52,2011,23405,2006,27406,,,2017,15,3,3,0,0,85,12,0,2,1,0,0,2019,2017,30,28,32,37,0,0,13.07251072,59.18663025,0,665,3,Actual,,,,,881,1188,1235
41255,787,1,1, ,100479,1,30,EXIT 6 OVER,RT 378 EB OVER,3007802, , ,Y,Interstate 787, ,55, ,110123,110123,100479011,4.9,6.29,39235742,1,123,,11,Combined Total,Y,,2019,A,93841,8952,5881,2782,2533,2019,93841,10,66,2017,99047,2011,88109,2000,86788,2019,16,6,3,3,0,84,10,1,2,1,0,0,2019,2011,45,48,63,69,88,36,13.07251072,59.18663025,0,5315,6,Actual,,,,,9186,4938,9436
41282,787,1,1, ,100479,1,30,EXIT 6 OVER,RT 378 EB OVER,3007802, , ,Y,Interstate 787, ,55, ,110123,110123,100479012,4.89,6.28,39235742,1,123,,11,Combined Total,Y,,2019,A,93841,8952,5881,2782,2533,2019,93841,10,66,2017,99047,2011,88109,2000,86788,2019,16,6,3,3,0,84,10,1,2,1,0,0,2019,2011,45,48,63,69,88,36,13.07251072,59.18663025,0,5315,6,Actual,,,,,9186,4938,9436
41292, , ,1, ,104542,1,30,SOUTH CITY LIN,SPRINGSTEEN RD, , , , ,RAPP RD, ,30, ,111310,111310,104542011,0,0.23,39165372,1,1310,,16,Combined Total,Y,,2019,A,3885,409,297,48,0,2019,3885,11,73,2014,3901,2011,3853,,,2014,11,1,1,0,0,88,10,0,1,1,0,0,2019,2014,30,27,28,33,0,0,13.07251072,59.18663025,0,48,1,Actual,,,,,364,353,441
41295, , ,1, ,104448,1,30,MAIN AVE,PARTRIDGE ST, , , , ,MORRIS ST, ,30,Y,111285,111285,104448011,0.21,0.51,39219522,1,1285,,17,Combined Total,Y,Y,2019,A,1054,136,136,16,0,2019,1054,13,100,2016,1179,2013,1290,2010,1394,2019,11,2,2,0,0,89,9,0,1,1,0,0,2019,2019,30,20,23,29,0,0,13.07251072,59.18663025,0,16,2,Actual,,,,,57,60,138
41304,787,1,1, ,100479,1,30,AFTER I-90 OVER,EXIT 6 OVER,3007794, , ,Y,Interstate 787, ,55, ,110122,110122,100479012,4.07,4.89,39255950,1,122,,11,Combined Total,Y,,2019,F,93300,8592,5213,3009,2846,2018,91965,9,61,2017,90028,2011,52975,2000,85973,2018,18,6,3,3,0,82,11,1,3,1,0,0,2019,2011,55,48,59,68,65,24,13.07251072,59.18663025,0,5855,6,Actual,,,,,4673,4278,5965
41316,787,1,1, ,100479,1,30,AFTER I-90 OVER,EXIT 6 OVER,3007794, , ,Y,Interstate 787, ,55, ,110122,110122,100479011,4.08,4.9,39255950,1,122,,11,Combined Total,Y,,2019,F,93300,8592,5213,3009,2846,2018,91965,9,61,2017,90028,2011,52975,2000,85973,2018,18,6,3,3,0,82,11,1,3,1,0,0,2019,2011,55,48,59,68,65,24,13.07251072,59.18663025,0,5855,6,Actual,,,,,4673,4278,5965
41326,910F, ,1, ,100569,1,30,ALBANY CL / GUILDERLAND TL,EXIT 1E MERGE,3007909,1073522, ,Y,Fuller Rd Alter, ,55, ,110910,110910,100569011,0.48,1.17,39115734,1,910,,12,Combined Total,Y,,2019,F,62183,5498,2912,1638,502,2017,62891,9,53,2000,53083,,,,,2017,15,3,3,1,0,85,11,0,2,1,0,0,2019,2017,55,53,54,61,45,4,13.07251072,59.18663025,0,2140,3,Actual,,,,,2144,2340,2905
41357, , ,1, ,104400,1,30,MANNING BLVD N,COMMERCE AVE, , , , ,MANNING BLVD EX, ,30, ,111275,111275,104400011,0,0.15,39231211,1,1275,,16,Combined Total,Y,,2019,F,2398,194,134,86,17,2017,2407,8,69,2013,2225,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,103,4,Estimated,,,,,126,159,186
41372,377,3,1, ,100347,1,30,WARDS LANE,RT 378 JCT END RT 377, , , , ,VAN RENSSELAER, ,55, ,110119,110119,100347011,0.92,1.75,39166395,1,119,,16,Combined Total,Y,,2019,A,8625,1165,921,308,60,2019,8625,14,79,2017,8004,2013,7948,2010,7447,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,368,4,Estimated,,,,,958,467,1203
41374, , ,1, ,104131,1,30,WATERVLIET AVE,MANNING BLV EX, , , , ,COMMERCE AVE, ,30, ,111236,111236,104131011,0,0.34,39209068,1,1236,,16,Combined Total,Y,,2019,A,4540,347,231,330,181,2019,4540,8,67,2015,4854,2012,3987,,,2019,25,11,7,4,0,75,14,1,6,1,1,0,2019,2019,30,36,37,43,0,0,13.07251072,59.18663025,0,511,11,Actual,,,,,305,347,379
41385,155,3,1, ,100091,1,30,RT 85A TRAFFIC CIRCLE ENTRAN,RT 20 JCT,3005495,1038620, , , , ,45, ,110484,110484,100091011,0,3.93,39242276,1,484,,16,Combined Total,Y,,2019,F,9725,867,462,376,61,2018,9743,9,53,2014,10600,2011,9482,2007,9751,2014,19,5,4,1,1,80,15,1,3,1,0,0,2019,2014,45,45,46,50,2,0,13.07251072,59.18663025,0,437,5,Actual,,,,,578,673,815
41420,90,1,1, ,100515,14,30,EXIT 25 OVER,START OF RT 87I OVERLAP - ST,3004277,1073580, ,Y,NYS Thruway, ,65, ,110237,110237,100515141,0.68,6.55,39237499,1,237,,11,Combined Total,Y,,2019,F,86807,7652,4911,2580,8059,2018,85565,9,64,2016,79112,2015,77164,2014,74540,2018,24,12,3,9,0,76,11,0,3,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,10639,12,Actual,,,,,4838,4341,6397
41458,90,1,1, ,100515,14,30,EXIT 25 OVER,START OF RT 87I OVERLAP - ST,3004277,1073580, ,Y,NYS Thruway, ,65, ,110237,110237,100515142,0.68,6.61,39237499,1,237,,11,Combined Total,Y,,2019,F,86807,7652,4911,2580,8059,2018,85565,9,64,2016,79112,2015,77164,2014,74540,2018,24,12,3,9,0,76,11,0,3,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,10639,12,Actual,,,,,4838,4341,6397
41461, , ,1, ,103797,1,30,PETRA LN,JUPITER LN, , , , ,WALKER WAY, ,25, ,111357,111357,103797011,0,0.51,39241346,1,1357,,17,Combined Total,Y,,2019,F,4218,484,351,167,33,2018,4230,11,73,2014,3427,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,200,5,Estimated,,,,,289,271,376
41464,910F, ,1, ,100569,1,30,US20 WESTERN AVE,ALBANY CL / GUILDERLAND TL,3007906, , ,Y,Fuller Rd Alter, ,55, ,110908,110908,100569011,0,0.48,39155785,1,908,,12,Combined Total,Y,,2019,F,40780,3714,1880,1041,525,2017,41245,9,51,2000,34102,,,,,2017,16,4,3,1,0,84,12,0,2,1,0,0,2019,2017,55,50,52,59,30,2,13.07251072,59.18663025,0,1566,4,Actual,,,,,2142,2184,2713
41488, , ,1, ,104675,1,30,LEXINGTON AVE,MANNING BLVD, , , ,Y,WASHINGTON AVE, ,30, ,111117,111117,104675011,0.87,2.34,39153090,1,1117,,14,Combined Total,Y,,2019,F,11670,1047,530,482,46,2017,11721,9,51,2011,10599,2008,12856,,,2011,,5,4,0,,,,,,,0,0,2019,2011,30,25,30,35,0,0,13.07251072,59.18663025,0,528,5,Actual,,,,,824,767,1157
41499, , ,1, ,301489,1,30,WESTERN AVE,OUTER RING RD, , , , ,STATE OFFICE CA, ,25, ,111362,111362,301489011,0,0.2,39231772,1,1362,,16,Combined Total,Y,,2019,F,4572,453,321,163,32,2018,4580,10,71,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,195,4,Estimated,,,,,481,481,494
41507,85,3,1, ,100492,1,30,ACC CAMPUS CIRCLE/BREVATOR S,ACC LINCOLN AVE,3004082, , ,Y, , ,55, ,110015,110015,100492011,25.6,26.22,39252471,1,15,,12,Combined Total,Y,,2019,F,34026,2958,1612,1276,160,2017,34414,9,54,2009,36311,2001,31684,,,2009,,4,4,0,,,,,,,0,0,2019,,,,,,,,13.07251072,59.18663025,0,1436,4,Actual,,,,,1769,1608,2085
41513, , ,1, ,103741,1,30,VILL LINE,CENTRAL AVE,3012094, ,508675J, ,LINCOLN AVE, ,25, ,111005,111005,103741011,0,0.82,39258151,1,1005,,17,Combined Total,Y,,2019,F,4079,316,213,82,5,2018,4090,8,67,2014,4120,2011,4270,2006,3866,2018,15,2,2,0,0,85,13,0,2,1,0,0,2019,2018,25,32,33,38,0,0,13.07251072,59.18663025,0,87,2,Actual,,,,,306,340,346
41520, , ,1, ,104488,1,30,WESTERN AVE,CORTLAND ST, , , , ,ORMOND ST, ,0, ,111300,111300,104488011,0,0.23,39221471,1,1300,,17,Combined Total,Y,,2019,F,1987,177,108,79,16,2017,1998,9,61,2012,2328,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,95,5,Estimated,,,,,132,135,167
41534, , ,1, ,104379,1,30,N LAKE AVE,ONTARIO ST, , , , ,LIVINGSTON AVE, ,30, ,111263,111263,104379011,1.23,1.56,39227306,1,1263,,17,Combined Total,Y,,2019,A,4999,421,242,202,3,2019,4999,8,57,2015,4896,2010,4729,,,2019,15,4,4,0,0,84,11,1,3,1,0,0,2019,2019,30,28,29,34,0,0,13.07251072,59.18663025,0,205,4,Actual,,,,,316,357,460
41547, , ,1, ,104127,1,30,LARK ST,NORTHERN BLVD,2016107, , ,Y,COLONIE ST, ,30, ,111107,111107,104127011,0.76,0.87,39234021,1,1107,,14,Combined Total,Y,,2019,F,1279,123,101,48,18,2017,1285,10,82,2014,997,2011,752,2007,3820,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,66,5,Estimated,,,,,48,87,118
41560,910D, ,1, ,100567,1,30,NEW KARNER RD,ALBANY CL / GUILDERLAND TL,3007897, , ,Y,Washington Ave, ,55, ,110906,110906,100567011,0,1.97,39193775,1,906,,12,Combined Total,Y,,2019,F,24622,2482,1419,772,192,2018,24761,10,57,2014,25351,2008,24743,2001,24178,2018,19,4,3,1,0,81,15,1,3,1,0,0,2019,2018,45,46,49,56,17,1,13.07251072,59.18663025,0,964,4,Actual,,,,,915,1111,1344
41573, , ,1, ,104597,1,30,RAPP RD,WASH AVE EXT, , , , ,SPRINGSTEEN RD, ,30,Y,111315,111315,104597011,0,0.12,39200694,1,1315,,16,Combined Total,Y,Y,2019,A,1942,203,203,69,14,2019,1942,10,100,2015,1965,2011,2397,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,83,4,Estimated,,,,,226,168,152
41584,9,2,1, ,100514,8,30,HENRY JOHNSON BLVD,START EB ON-RAMP,3000997,1092549, ,Y,HENRY JOHNSON B, ,30, ,110101,110101,104285011,0.35,0.6,39180201,1,101,,14,Combined Total,Y,,2019,F,22733,1941,1200,469,34,2018,22782,9,62,2011,19675,2005,25349,2002,19870,2018,10,2,2,0,0,90,8,1,1,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,503,2,Actual,,,,,1876,1408,2099
41591, , ,1, ,101981,1,30,CORP WOODS BLV,ALB/SHAKER RD, , , , ,CORP WOODS DR, ,30, ,111205,111205,101981011,0,0.35,39257941,1,1205,,17,Combined Total,Y,,2019,A,4243,547,446,168,33,2019,4243,13,82,2015,4786,2009,6760,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,201,5,Estimated,,,,,573,455,598
41595,9,2,1, ,100514,8,30,HENRY JOHNSON BLVD,START EB ON-RAMP,3000997,1092549, ,Y,HENRY JOHNSON B, ,30, ,110101,110101,100514081,2.03,2.62,39180201,1,101,,14,Combined Total,Y,,2019,F,22733,1941,1200,469,34,2018,22782,9,62,2011,19675,2005,25349,2002,19870,2018,10,2,2,0,0,90,8,1,1,1,0,0,2019,,,,,,,,13.07251072,59.18663025,0,503,2,Actual,,,,,1876,1408,2099
