OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
531,534852,53,WEST UTICA ST,NY384 DELAWARE AV,LINWOOD AVE,16,30,25 yards west of linwood    ,WB 1 Lane - 30 MPH                                ,1,2015,6,22,Westbound,,28,16,8,6,9,33,99,184,207,163,147,165,197,177,218,214,196,216,164,135,98,89,84,57,2910,1.1,1,2645,218,15,4,2527,237,86,36,3,0,0,0,0,0,0,0,,2893,13,4,4,0,0,87,8,3,1,1,1,0,,,22,24,29,0,0,,5,3,,42.91128,-78.86887,184183.66469999962,4758228.2695
532,534852,53,WEST UTICA ST,NY384 DELAWARE AV,LINWOOD AVE,16,30,25 yards west of linwood    ,,1,2015,6,22,Combined Total,Y,63,30,16,15,19,50,155,315,354,309,292,329,384,355,428,427,411,398,308,267,204,176,158,131,5594,1.1,1,5085,428,15,32,4761,548,139,71,8,1,0,0,0,0,0,0,,5560,14,4,4,0,1,86,10,3,1,1,0,0,,,19,22,28,0,0,,5,3,,42.91128,-78.86887,184183.66469999962,4758228.2695
533,534853,53,WEST UTICA ST,LINWOOD AVE,NY5 MAIN ST,16,30,!100 yards east of linwood a,EB 1 Lane - 30 MPH                                ,1,2015,6,22,Eastbound,,31,14,10,8,9,20,58,142,155,152,162,179,205,196,211,215,223,180,142,131,107,82,72,68,2772,1.1,1,2520,223,17,27,2393,229,78,33,3,0,0,0,0,0,0,0,,2763,12,4,4,0,1,87,8,3,1,1,0,0,,,21,24,29,0,0,,5,3,,42.91124,-78.86714,184324.6961000003,4758217.325099999
534,534853,53,WEST UTICA ST,LINWOOD AVE,NY5 MAIN ST,16,30,!100 yards east of linwood a,WB  1 Lane - 30 MPH                               ,1,2015,6,22,Westbound,,30,16,9,7,9,31,95,186,197,159,162,162,194,179,220,208,196,200,170,136,101,92,85,59,2903,1.1,1,2639,223,17,14,2318,413,95,48,2,0,0,0,0,0,0,0,,2890,19,5,5,0,0,80,14,3,2,1,1,0,,,20,23,29,0,0,,5,3,,42.91124,-78.86714,184324.6961000003,4758217.325099999
535,534853,53,WEST UTICA ST,LINWOOD AVE,NY5 MAIN ST,16,30,!100 yards east of linwood a,,1,2015,6,22,Combined Total,Y,61,30,19,15,18,51,153,328,352,311,324,341,399,375,431,423,419,380,312,267,208,174,157,127,5675,1.1,1,5159,431,15,41,4711,642,173,81,5,0,0,0,0,0,0,0,,5653,16,5,5,0,1,83,11,3,2,1,0,0,,,20,23,29,0,0,,5,3,,42.91124,-78.86714,184324.6961000003,4758217.325099999
5235,531117,53,SOUTH DIVISION,ELM ST,MICHIGAN AVE,14,30,150' W of Michigan Ave      ,EB Ramp - 30 MPH                                  ,2,2015,4,19,Eastbound,,15,15,7,6,7,12,45,137,159,179,160,154,152,154,146,175,202,193,92,89,54,48,46,30,2277,1.052,0.979,2164,202,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,42.88172,-78.86983,183954.12409999967,4754948.7949
5236,531117,53,SOUTH DIVISION,ELM ST,MICHIGAN AVE,14,30,150' W of Michigan Ave      ,,2,2015,4,19,Combined Total,Y,15,15,7,6,7,12,45,137,159,179,160,154,152,154,146,175,202,193,92,89,54,48,46,30,2277,1.052,0.979,2164,202,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,42.88172,-78.86983,183954.12409999967,4754948.7949
5237,531134,53,LOWER TERRACE,EAGLE ST,CHURCH ST,14,30,200' S of Eagle St          ,One Way SB 4 Lanes - 30 MPH                       ,1,2015,4,19,Southbound,,75,42,28,21,26,54,182,496,584,536,554,602,648,667,868,1288,1775,1515,584,415,306,250,305,186,12007,1.052,1,11413,1775,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,42.88492,-78.88024,183120.25569999963,4755343.395099999
5238,531134,53,LOWER TERRACE,EAGLE ST,CHURCH ST,14,30,200' S of Eagle St          ,,1,2015,4,19,Combined Total,Y,75,42,28,21,26,54,182,496,584,536,554,602,648,667,868,1288,1775,1515,584,415,306,250,305,186,12007,1.052,1,11413,1775,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,42.88492,-78.88024,183120.25569999963,4755343.395099999
5313,531324,53,SWAN ST,MICHIGAN ST,ELM ST - RT 954D NB,14,30,150' W of Michgan St        ,One Lane EB - 30 MPH                              ,2,2015,4,19,Eastbound,,5,4,2,2,2,4,17,28,47,53,47,44,54,47,42,68,56,59,41,36,19,21,11,9,718,1.052,0.979,683,68,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,42.88089,-78.87009,183928.64410000015,4754857.5886
5314,531324,53,SWAN ST,MICHIGAN ST,ELM ST - RT 954D NB,14,30,150' W of Michgan St        ,One Lane WB - 30 MPH                              ,2,2015,4,19,Westbound,,42,28,21,23,24,24,83,223,265,181,182,225,247,255,297,354,325,308,164,126,121,96,74,61,3749,1.052,0.979,3564,354,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,42.88089,-78.87009,183928.64410000015,4754857.5886
5315,531324,53,SWAN ST,MICHIGAN ST,ELM ST - RT 954D NB,14,30,150' W of Michgan St        ,,2,2015,4,19,Combined Total,Y,47,32,23,25,26,28,100,251,312,234,229,269,301,302,339,422,381,367,205,162,140,117,85,70,4467,1.052,0.979,4247,422,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,42.88089,-78.87009,183928.64410000015,4754857.5886
5429,534114,53,BRYANT ST,ELMWOOD AVE,RICHMOND AVE,17,30,250 ft West of Elmwood      ,EB 1 Lane - 30 MPH                                ,1,2015,4,19,Eastbound,,15,8,6,5,3,14,33,92,113,85,76,99,105,104,108,108,99,113,104,73,65,55,38,21,1542,1.052,1,1466,113,9,0,1350,151,10,19,3,0,0,0,0,0,0,0,,1533,12,2,2,0,0,88,10,1,1,1,0,0,,,15,14,22,0,0,,5,3,,42.90892,-78.87799,183427.01709999982,4758000.4791
5430,534114,53,BRYANT ST,ELMWOOD AVE,RICHMOND AVE,17,30,250 ft West of Elmwood      ,WB 1 Lane - 30 MPH                                ,1,2015,4,19,Westbound,,12,10,6,5,4,10,20,61,66,52,56,77,69,77,76,82,101,108,89,74,66,57,40,28,1246,1.052,1,1184,113,9,0,997,215,4,26,0,0,0,0,0,0,0,0,,1242,20,2,2,0,0,80,17,0,2,1,0,0,,,13,10,17,0,0,,5,3,,42.90892,-78.87799,183427.01709999982,4758000.4791
5431,534114,53,BRYANT ST,ELMWOOD AVE,RICHMOND AVE,17,30,250 ft West of Elmwood      ,,1,2015,4,19,Combined Total,Y,27,18,12,10,7,24,53,153,179,137,132,176,174,181,184,190,200,221,193,147,131,112,78,49,2788,1.052,1,2650,221,18,0,2347,366,14,45,3,0,0,0,0,0,0,0,,2775,15,2,2,0,0,85,13,1,2,1,0,0,,,14,12,20,0,0,,5,3,,42.90892,-78.87799,183427.01709999982,4758000.4791
7516,534459,53,WEST HURON ST,PEARL ST,MAIN ST,16,30,!130 ft W of Main ST        ,WB 1 Lane - 30 MPH                                ,1,2015,10,11,Westbound,,10,3,3,2,5,12,33,95,139,90,61,65,66,56,60,68,59,54,40,38,32,26,19,13,1049,1.056,1,993,170,17,3,901,111,5,16,0,1,0,0,0,0,0,0,,1037,13,2,2,0,0,87,11,0,2,1,0,0,,,15,13,22,0,0,,5,3,,42.88872,-78.87391,183656.70349999983,4755741.5978999995
7517,534459,53,WEST HURON ST,PEARL ST,MAIN ST,16,30,!130 ft W of Main ST        ,,1,2015,10,11,Combined Total,Y,22,10,7,6,11,26,71,186,257,210,172,178,192,184,181,208,229,207,138,102,75,67,52,37,2828,1.056,1,2678,257,9,7,2358,342,32,64,4,1,0,0,0,0,0,0,,2808,16,4,4,0,0,84,12,1,2,1,0,0,,,15,13,22,0,0,,5,3,,42.88872,-78.87391,183656.70349999983,4755741.5978999995
7530,534474,53,JEFFERSON AVE,WILLIAM ST,BROADWAY,16,30,180 FT S of Peckham ST      ,NB 2 Lane - 30 mph                                ,1,2015,8,10,Northbound,,52,26,24,22,18,31,98,182,250,228,235,275,298,302,311,340,404,408,290,244,232,187,138,108,4703,1.089,1,4319,408,18,5,4062,485,32,69,6,1,6,1,0,0,0,0,,4667,13,2,2,0,0,87,10,1,2,1,0,0,,,30,31,37,0,0,,5,3,,42.88733,-78.85394,185280.5580000002,4755512.2487
7531,534474,53,JEFFERSON AVE,WILLIAM ST,BROADWAY,16,30,180 FT S of Peckham ST      ,SB 2 Lane - 30 mph                                ,1,2015,8,10,Southbound,,41,28,17,11,11,30,90,191,254,209,184,211,249,234,232,266,295,298,255,193,176,130,110,85,3800,1.089,1,3489,408,18,4,3114,518,29,61,9,9,10,3,0,0,0,0,,3757,17,3,3,0,0,83,14,1,2,1,0,0,,,33,33,39,0,0,,5,3,,42.88733,-78.85394,185280.5580000002,4755512.2487
7532,534474,53,JEFFERSON AVE,WILLIAM ST,BROADWAY,16,30,180 FT S of Peckham ST      ,,1,2015,8,10,Combined Total,Y,93,54,41,33,29,61,188,373,504,437,419,486,547,536,543,606,699,706,545,437,408,317,248,193,8503,1.089,1,7808,706,18,9,7176,1003,61,130,15,10,16,4,0,0,0,0,,8424,15,3,3,0,0,85,12,1,2,1,0,0,,,31,32,38,0,0,,5,3,,42.88733,-78.85394,185280.5580000002,4755512.2487
7533,534475,53,JEFFERSON AVE,BROADWAY,GENESEE ST,16,30,180 FT N of Davis ST        ,NB 2 Lane - 30 mph                                ,1,2015,8,10,Northbound,,60,33,26,22,16,43,134,232,312,236,284,297,330,319,342,382,438,450,322,257,264,219,168,127,5313,1.089,1,4879,450,18,9,4320,796,30,82,14,8,9,5,0,0,0,0,,5273,18,3,3,0,0,82,15,1,2,1,0,0,,,33,34,39,0,0,,5,3,,42.89457,-78.85393,185318.24280000012,4756316.320900001
7534,534475,53,JEFFERSON AVE,BROADWAY,GENESEE ST,16,30,180 FT N of Davis ST        ,SB 2 Lane - 30 mph                                ,1,2015,8,10,Southbound,,55,30,22,15,17,36,107,229,325,273,238,272,323,316,306,341,399,396,336,244,236,196,146,115,4973,1.089,1,4567,450,18,14,4370,434,32,45,13,15,11,5,0,0,0,0,,4939,11,2,2,0,0,88,9,1,1,1,0,0,,,32,33,39,0,0,,5,3,,42.89457,-78.85393,185318.24280000012,4756316.320900001
7535,534475,53,JEFFERSON AVE,BROADWAY,GENESEE ST,16,30,180 FT N of Davis ST        ,,1,2015,8,10,Combined Total,Y,115,63,48,37,33,79,241,461,637,509,522,569,653,635,648,723,837,846,658,501,500,415,314,242,10286,1.089,1,9446,846,18,23,8690,1230,62,127,27,23,20,10,0,0,0,0,,10212,15,3,2,0,0,85,12,1,2,1,0,0,,,33,34,39,0,0,,5,3,,42.89457,-78.85393,185318.24280000012,4756316.320900001
7617,534566,53,MASSACHUSETTS A,BUSTI AVE,W FERRY AVE,17,30,!160 ft E of Normal ST      ,EB 1 Lane - 30 MPH                                ,1,2015,9,27,Eastbound,,12,4,3,5,2,6,18,56,54,54,52,56,52,58,73,79,78,83,61,49,39,31,29,17,971,1.064,1,913,83,18,16,709,92,26,19,18,0,0,0,0,0,0,0,,880,18,7,7,0,2,81,10,3,4,1,1,0,,,18,21,26,0,0,,5,3,,42.91075,-78.89184,182305.68290000036,4758256.009
7618,534566,53,MASSACHUSETTS A,BUSTI AVE,W FERRY AVE,17,30,!160 ft E of Normal ST      ,WB 1 Lane - 30 MPH                                ,1,2015,9,27,Westbound,,8,5,3,4,2,9,18,38,49,56,56,60,70,63,72,80,69,64,58,52,41,33,23,19,952,1.064,1,895,83,18,2,809,90,23,16,1,0,1,0,0,0,0,0,,942,14,4,4,0,0,86,10,2,2,1,1,0,,,19,22,27,0,0,,5,3,,42.91075,-78.89184,182305.68290000036,4758256.009
7619,534566,53,MASSACHUSETTS A,BUSTI AVE,W FERRY AVE,17,30,!160 ft E of Normal ST      ,,1,2015,9,27,Combined Total,Y,20,9,6,9,4,15,36,94,103,110,108,116,122,121,145,159,147,147,119,101,80,64,52,36,1923,1.064,1,1808,159,16,18,1518,182,49,35,19,0,1,0,0,0,0,0,,1822,16,6,6,0,1,83,10,3,3,1,1,0,,,18,21,27,0,0,,5,3,,42.91075,-78.89184,182305.68290000036,4758256.009
7743,531119,53,SOUTH ELMWOOD,W TUPPER ST,EDWARD ST,14,30,!90 ft N of Cary ST         ,NB 1 Lane - 30 MPH                                ,1,2015,10,11,Northbound,,38,24,14,10,9,31,93,188,243,196,214,234,270,229,244,251,326,458,242,172,132,112,88,78,3896,1.056,1,3689,458,18,12,3473,270,70,47,5,6,1,0,0,0,0,0,,3884,10,3,3,0,0,89,7,2,1,1,0,0,,,25,27,31,0,0,,5,3,,42.89056,-78.87854,183288.0047000004,4755963.3946
7744,531119,53,SOUTH ELMWOOD,W TUPPER ST,EDWARD ST,14,30,!90 ft N of Cary ST         ,SB 1 LAne - 30 MPH                                ,1,2015,10,11,Southbound,,62,42,32,30,38,54,169,497,574,394,326,368,412,438,462,470,498,440,354,302,242,183,155,111,6653,1.056,1,6300,574,9,83,5609,709,88,97,26,9,5,1,0,0,0,0,,6627,14,3,3,0,1,85,11,1,2,1,0,0,,,22,26,32,0,0,,5,3,,42.89056,-78.87854,183288.0047000004,4755963.3946
7745,531119,53,SOUTH ELMWOOD,W TUPPER ST,EDWARD ST,14,30,!90 ft N of Cary ST         ,,1,2015,10,11,Combined Total,Y,100,66,46,40,47,85,262,685,817,590,540,602,682,667,706,721,824,898,596,474,374,295,243,189,10549,1.056,1,9989,898,18,95,9082,979,158,144,31,15,6,1,0,0,0,0,,10511,13,3,3,0,1,86,9,2,2,1,0,0,,,23,26,32,0,0,,5,3,,42.89056,-78.87854,183288.0047000004,4755963.3946
7749,531130,53,SOUTH ELMWOOD,NIAGARA,W CHIPPEWA,14,30,120 ft S of W Huron ST      ,NB 1 Lane - 30mph                                 ,1,2015,8,3,Northbound,,35,20,13,9,13,51,118,203,273,217,204,234,250,234,246,259,395,451,220,126,119,110,93,71,3964,1.089,1,3640,451,18,42,3508,239,89,37,16,1,1,0,0,0,0,0,,3933,10,4,4,0,1,89,6,2,1,1,0,0,,,21,23,29,0,0,,5,3,,42.88875,-78.87905,183237.07760000043,4755764.288699999
7750,531130,53,SOUTH ELMWOOD,NIAGARA,W CHIPPEWA,14,30,120 ft S of W Huron ST      ,SB 1 Lane - 30mph                                 ,1,2015,8,3,Southbound,,52,33,24,20,19,43,118,346,588,364,305,354,382,409,398,436,491,441,283,249,200,176,137,103,5971,1.089,1,5483,588,9,32,4943,683,97,80,28,8,2,2,0,0,0,0,,5875,15,4,4,0,1,84,12,2,2,1,0,0,,,21,24,30,0,0,,5,3,,42.88875,-78.87905,183237.07760000043,4755764.288699999
7751,531130,53,SOUTH ELMWOOD,NIAGARA,W CHIPPEWA,14,30,120 ft S of W Huron ST      ,,1,2015,8,3,Combined Total,Y,87,53,37,29,32,94,236,549,861,581,509,588,632,643,644,695,886,892,503,375,319,286,230,174,9935,1.089,1,9123,892,18,74,8451,922,186,117,44,9,3,2,0,0,0,0,,9808,13,4,4,0,1,86,9,2,2,1,0,0,,,21,24,30,0,0,,5,3,,42.88875,-78.87905,183237.07760000043,4755764.288699999
7752,534594,53,MICHIGAN AVE,NY354 WILLIAM ST,BROADWAY,16,30,300 ft S of Broadway        ,NB 1 Lane - 30 MPH                                ,1,2015,7,20,Northbound,,90,64,42,38,28,64,148,292,317,238,229,258,292,274,308,352,391,416,234,205,226,188,192,118,5004,1.083,1,4620,416,18,23,4334,462,20,51,19,26,17,1,0,0,0,0,,4953,12,3,2,0,0,88,9,0,2,1,0,0,,,24,26,31,0,0,,5,3,,42.88585,-78.86779,184141.85230000038,4755399.825099999
7753,534594,53,MICHIGAN AVE,NY354 WILLIAM ST,BROADWAY,16,30,300 ft S of Broadway        ,SB 1 Lane - 30 MPH                                ,1,2015,7,20,Southbound,,32,21,16,12,14,25,69,153,229,151,157,185,195,182,207,275,283,263,159,131,109,90,68,66,3092,1.083,1,2855,416,18,26,2693,276,13,30,11,6,7,2,0,0,0,0,,3064,11,2,2,0,1,88,9,0,2,1,0,0,,,25,27,32,0,0,,5,3,,42.88585,-78.86779,184141.85230000038,4755399.825099999
7754,534594,53,MICHIGAN AVE,NY354 WILLIAM ST,BROADWAY,16,30,300 ft S of Broadway        ,,1,2015,7,20,Combined Total,Y,122,85,58,50,42,89,217,445,546,389,386,443,487,456,515,627,674,679,393,336,335,278,260,184,8096,1.083,1,7475,679,18,49,7027,738,33,81,30,32,24,3,0,0,0,0,,8017,12,3,2,0,1,88,9,0,2,1,0,0,,,24,27,32,0,0,,5,3,,42.88585,-78.86779,184141.85230000038,4755399.825099999
7755,534595,53,MICHIGAN AVE,BROADWAY,GENESEE ST,16,30,!500 ft S of Genesee St     ,NB 1 Lane - 30 MPH                                ,1,2015,7,20,Northbound,,81,56,38,32,24,70,194,362,378,253,248,296,333,309,325,382,428,477,256,202,232,196,189,111,5472,1.083,1,5053,477,18,14,4620,605,21,81,18,27,24,4,0,0,0,0,,5414,14,3,3,1,0,85,11,0,2,1,0,0,,,31,31,37,0,0,,5,3,,42.88995,-78.86639,184277.13929999992,4755849.931500001
7756,534595,53,MICHIGAN AVE,BROADWAY,GENESEE ST,16,30,!500 ft S of Genesee St     ,SB 1 Lane - 30 MPH                                ,1,2015,7,20,Southbound,,29,20,12,11,12,27,94,164,236,172,176,196,217,214,240,279,300,249,167,137,112,91,61,55,3271,1.083,1,3020,477,18,25,2649,453,13,70,18,7,6,1,0,0,0,0,,3242,18,4,3,0,1,82,14,0,3,1,0,0,,,26,28,34,0,0,,5,3,,42.88995,-78.86639,184277.13929999992,4755849.931500001
7757,534595,53,MICHIGAN AVE,BROADWAY,GENESEE ST,16,30,!500 ft S of Genesee St     ,,1,2015,7,20,Combined Total,Y,110,76,50,43,36,97,288,526,614,425,424,492,550,523,565,661,728,726,423,339,344,287,250,166,8743,1.083,1,8073,728,17,39,7269,1058,34,151,36,34,30,5,0,0,0,0,,8656,16,3,3,0,0,84,12,0,3,1,0,0,,,29,30,35,0,0,,5,3,,42.88995,-78.86639,184277.13929999992,4755849.931500001
7758,534596,53,MICHIGAN AVE,GENESEE ST,GOODELL ST,16,30,!300 ft N of Genesee ST     ,NB 1 Lane - 30 MPH                                ,1,2015,7,20,Northbound,,82,56,35,33,33,125,377,553,547,362,330,345,384,354,379,426,476,514,299,228,246,204,202,120,6710,1.083,1,6196,553,8,32,5824,632,23,74,23,20,16,3,0,0,0,0,,6647,12,2,2,0,0,88,10,0,2,1,0,0,,,29,30,35,0,0,,5,3,,42.89205,-78.86571,184343.39979999978,4756080.613700001
7759,534596,53,MICHIGAN AVE,GENESEE ST,GOODELL ST,16,30,!300 ft N of Genesee ST     ,SB 1 Lane - 30 MPH                                ,1,2015,7,20,Southbound,,29,16,10,8,11,24,99,204,252,182,182,212,226,223,246,277,296,270,174,148,121,93,62,53,3418,1.083,1,3156,553,8,18,2937,330,12,51,23,5,6,0,0,0,0,0,,3382,13,3,3,0,1,87,10,0,2,1,0,0,,,29,30,35,0,0,,5,3,,42.89205,-78.86571,184343.39979999978,4756080.613700001
7760,534596,53,MICHIGAN AVE,GENESEE ST,GOODELL ST,16,30,!300 ft N of Genesee ST     ,,1,2015,7,20,Combined Total,Y,111,72,45,41,44,149,476,757,799,544,512,557,610,577,625,703,772,784,473,376,367,297,264,173,10128,1.083,1,9352,799,9,50,8761,962,35,125,46,25,22,3,0,0,0,0,,10029,12,3,2,0,0,87,10,0,2,1,0,0,,,29,30,35,0,0,,5,3,,42.89205,-78.86571,184343.39979999978,4756080.613700001
